Type,SKU,Name,Parent,Published,Regular price,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Short description,Description,Images,material
variation,impexo-camera-protection--jojo1015-19--iphone-17--noir,,impexo-camera-protection,1,26.90,Modèle,iPhone 17,1,0,Couleur,Noir,1,0,Référence,JOJO1015-19,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-19.JPG,
variation,impexo-camera-protection--jojo1015-1--iphone-17--vert,,impexo-camera-protection,1,14.90,Modèle,iPhone 17,1,0,Couleur,Vert,1,0,Référence,JOJO1015-1,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1.JPG,
variation,impexo-camera-protection--jojo1015-3--iphone-17--vert,,impexo-camera-protection,1,17.90,Modèle,iPhone 17,1,0,Couleur,Vert,1,0,Référence,JOJO1015-3,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-3.JPG,
variation,impexo-camera-protection--jojo1015-5--iphone-17--vert,,impexo-camera-protection,1,17.90,Modèle,iPhone 17,1,0,Couleur,Vert,1,0,Référence,JOJO1015-5,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-5.JPG,
variation,impexo-camera-protection--jojo1015-9--iphone-17--vert,,impexo-camera-protection,1,22.90,Modèle,iPhone 17,1,0,Couleur,Vert,1,0,Référence,JOJO1015-9,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-9.JPG,
variation,impexo-camera-protection--jojo1015-10--iphone-17--vert,,impexo-camera-protection,1,22.90,Modèle,iPhone 17,1,0,Couleur,Vert,1,0,Référence,JOJO1015-10,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-10.JPG,
variation,impexo-camera-protection--jojo1015-13--iphone-17--vert,,impexo-camera-protection,1,24.90,Modèle,iPhone 17,1,0,Couleur,Vert,1,0,Référence,JOJO1015-13,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-13.JPG,
variation,impexo-camera-protection--jojo1015-19--iphone-17--vert,,impexo-camera-protection,1,26.90,Modèle,iPhone 17,1,0,Couleur,Vert,1,0,Référence,JOJO1015-19,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-19.JPG,
variation,impexo-camera-protection--jojo1015-1--iphone-17--rose,,impexo-camera-protection,1,14.90,Modèle,iPhone 17,1,0,Couleur,Rose,1,0,Référence,JOJO1015-1,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1.JPG,
variation,impexo-camera-protection--jojo1015-3--iphone-17--rose,,impexo-camera-protection,1,17.90,Modèle,iPhone 17,1,0,Couleur,Rose,1,0,Référence,JOJO1015-3,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-3.JPG,
variation,impexo-camera-protection--jojo1015-5--iphone-17--rose,,impexo-camera-protection,1,17.90,Modèle,iPhone 17,1,0,Couleur,Rose,1,0,Référence,JOJO1015-5,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-5.JPG,
variation,impexo-camera-protection--jojo1015-9--iphone-17--rose,,impexo-camera-protection,1,22.90,Modèle,iPhone 17,1,0,Couleur,Rose,1,0,Référence,JOJO1015-9,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-9.JPG,
variation,impexo-camera-protection--jojo1015-10--iphone-17--rose,,impexo-camera-protection,1,22.90,Modèle,iPhone 17,1,0,Couleur,Rose,1,0,Référence,JOJO1015-10,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-10.JPG,
variation,impexo-camera-protection--jojo1015-13--iphone-17--rose,,impexo-camera-protection,1,24.90,Modèle,iPhone 17,1,0,Couleur,Rose,1,0,Référence,JOJO1015-13,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-13.JPG,
variation,impexo-camera-protection--jojo1015-19--iphone-17--rose,,impexo-camera-protection,1,26.90,Modèle,iPhone 17,1,0,Couleur,Rose,1,0,Référence,JOJO1015-19,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-19.JPG,
variation,impexo-camera-protection--jojo1015-1--iphone-17--bleu,,impexo-camera-protection,1,14.90,Modèle,iPhone 17,1,0,Couleur,Bleu,1,0,Référence,JOJO1015-1,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1.JPG,
variation,impexo-camera-protection--jojo1015-3--iphone-17--bleu,,impexo-camera-protection,1,17.90,Modèle,iPhone 17,1,0,Couleur,Bleu,1,0,Référence,JOJO1015-3,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-3.JPG,
variation,impexo-camera-protection--jojo1015-5--iphone-17--bleu,,impexo-camera-protection,1,17.90,Modèle,iPhone 17,1,0,Couleur,Bleu,1,0,Référence,JOJO1015-5,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-5.JPG,
variation,impexo-camera-protection--jojo1015-9--iphone-17--bleu,,impexo-camera-protection,1,22.90,Modèle,iPhone 17,1,0,Couleur,Bleu,1,0,Référence,JOJO1015-9,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-9.JPG,
variation,impexo-camera-protection--jojo1015-10--iphone-17--bleu,,impexo-camera-protection,1,22.90,Modèle,iPhone 17,1,0,Couleur,Bleu,1,0,Référence,JOJO1015-10,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-10.JPG,
variation,impexo-camera-protection--jojo1015-13--iphone-17--bleu,,impexo-camera-protection,1,24.90,Modèle,iPhone 17,1,0,Couleur,Bleu,1,0,Référence,JOJO1015-13,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-13.JPG,
variation,impexo-camera-protection--jojo1015-19--iphone-17--bleu,,impexo-camera-protection,1,26.90,Modèle,iPhone 17,1,0,Couleur,Bleu,1,0,Référence,JOJO1015-19,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-19.JPG,
variation,impexo-camera-protection--jojo1015-1--iphone-17--rouge,,impexo-camera-protection,1,14.90,Modèle,iPhone 17,1,0,Couleur,Rouge,1,0,Référence,JOJO1015-1,1,0,,,https://www.impexo.fr/product/IMPEXO-IPHONE%2017%20SERIES12-31/JOJO1015-1.JPG,
